;_id;available;connected;estation;free;open;ticket;total;;
276;5c605be225541729b7d50997;1;1;269;14;1;0;15;;
277;5c605be225541729b7d50998;19;1;276;1;1;1;20;;
278;5c605f8625541729b7d50999;18;1;63;2;1;1;20;;
279;5c605f8625541729b7d5099a;6;1;64;14;1;0;20;;
280;5c605f8625541729b7d5099b;10;1;65;9;1;1;19;;
281;5c605f8625541729b7d5099c;22;1;66;3;1;0;25;;
282;5c605f8625541729b7d5099d;14;1;67;0;1;0;14;;
283;5c605f8625541729b7d5099e;13;1;68;6;1;1;20;;
284;5c605f8625541729b7d5099f;22;1;69;3;1;0;25;;
285;5c605f8625541729b7d509a0;19;1;71;1;1;1;20;;
286;5c605f8625541729b7d509a1;1;1;72;14;1;0;15;;
287;5c605f8625541729b7d509a2;8;1;73;12;1;1;20;;
288;5c605f8625541729b7d509a3;7;1;74;13;1;1;20;;
289;5c605f8625541729b7d509a4;0;1;75;25;1;1;25;;
290;5c605f8625541729b7d509a5;13;1;76;6;1;1;19;;
291;5c605f8625541729b7d509a6;11;1;78;9;1;1;20;;
292;5c605f8625541729b7d509a7;1;1;79;18;1;0;20;;
293;5c605f8625541729b7d509a8;17;1;80;8;1;0;25;;
294;5c605f8625541729b7d509a9;7;1;81;13;1;0;20;;
295;5c605f8625541729b7d509aa;1;1;85;22;1;0;23;;
296;5c605f8625541729b7d509ab;2;1;87;31;1;1;33;;
297;5c605f8625541729b7d509ac;6;1;88;34;1;1;40;;
298;5c605f8625541729b7d509ad;8;1;92;12;1;1;20;;
299;5c605f8625541729b7d509ae;12;1;94;8;1;0;20;;
300;5c605f8625541729b7d509af;8;1;96;13;1;1;21;;
301;5c605f8625541729b7d509b0;2;1;97;21;1;0;23;;
302;5c605f8625541729b7d509b1;3;1;98;12;1;1;15;;
303;5c605f8625541729b7d509b2;9;1;99;12;1;1;21;;
304;5c605f8625541729b7d509b3;20;1;100;0;1;0;20;;
305;5c605f8625541729b7d509b4;30;1;101;0;1;1;30;;
306;5c605f8625541729b7d509b5;19;1;102;1;1;0;20;;
307;5c605f8625541729b7d509b6;5;1;103;10;1;0;15;;
308;5c605f8625541729b7d509b7;7;1;108;8;1;1;15;;
309;5c605f8625541729b7d509b8;20;1;109;0;1;1;20;;
310;5c605f8625541729b7d509b9;17;1;117;13;1;1;30;;
311;5c605f8625541729b7d509ba;5;1;150;19;1;0;25;;
312;5c605f8625541729b7d509bb;19;1;151;1;1;0;20;;
313;5c605f8625541729b7d509bc;15;1;154;0;1;0;15;;
314;5c605f8625541729b7d509bd;15;1;158;0;1;0;15;;
315;5c605f8625541729b7d509be;16;1;159;1;1;0;17;;
316;5c605f8625541729b7d509bf;12;1;160;8;1;0;20;;
317;5c605f8625541729b7d509c0;15;1;161;0;1;1;15;;
318;5c605f8625541729b7d509c1;14;1;162;5;1;0;19;;
319;5c605f8625541729b7d509c2;19;1;163;1;1;1;20;;
320;5c605f8625541729b7d509c3;14;1;164;3;1;0;17;;
321;5c605f8625541729b7d509c4;20;1;165;0;1;1;20;;
322;5c605f8625541729b7d509c5;14;1;166;1;1;0;15;;
323;5c605f8625541729b7d509c6;16;1;167;1;1;0;20;;
324;5c605f8625541729b7d509c7;10;1;168;5;1;0;15;;
325;5c605f8625541729b7d509c8;16;1;169;3;1;1;20;;
326;5c605f8625541729b7d509c9;10;1;170;9;1;0;20;;
327;5c605f8625541729b7d509ca;8;1;171;7;1;0;15;;
328;5c605f8625541729b7d509cb;15;1;57;4;1;1;20;;
329;5c605f8625541729b7d509cc;15;1;54;5;1;1;20;;
330;5c605f8625541729b7d509cd;4;1;59;11;1;1;15;;
331;5c605f8625541729b7d509ce;1;1;60;18;1;0;19;;
332;5c605f8625541729b7d509cf;9;1;61;11;1;1;20;;
333;5c605f8625541729b7d509d0;18;1;62;2;1;1;20;;
334;5c605f8625541729b7d509d1;7;1;31;12;1;0;20;;
335;5c605f8625541729b7d509d2;16;1;32;4;1;1;20;;
336;5c605f8625541729b7d509d3;0;1;34;17;1;0;17;;
337;5c605f8625541729b7d509d4;7;1;35;13;1;1;20;;
338;5c605f8625541729b7d509d5;8;1;37;10;1;1;20;;
339;5c605f8625541729b7d509d6;9;1;38;10;1;0;20;;
340;5c605f8625541729b7d509d7;15;1;39;4;1;1;19;;
341;5c605f8625541729b7d509d8;3;1;41;17;1;0;20;;
342;5c605f8625541729b7d509d9;18;1;42;2;1;1;20;;
343;5c605f8625541729b7d509da;16;1;43;3;1;0;20;;
344;5c605f8625541729b7d509db;6;1;44;13;1;1;19;;
345;5c605f8625541729b7d509dc;13;1;45;2;1;0;15;;
346;5c605f8625541729b7d509dd;12;1;46;8;1;0;20;;
347;5c605f8625541729b7d509de;19;1;47;1;1;1;20;;
348;5c605f8625541729b7d509df;14;1;48;4;1;0;20;;
349;5c605f8625541729b7d509e0;25;1;49;0;1;0;25;;
350;5c605f8625541729b7d509e1;36;1;50;4;1;1;40;;
351;5c605f8625541729b7d509e2;1;1;51;19;1;1;20;;
352;5c605f8625541729b7d509e3;11;1;52;14;1;1;25;;
353;5c605f8625541729b7d509e4;22;1;53;3;1;0;25;;
354;5c605f8625541729b7d509e5;11;1;55;14;1;0;25;;
355;5c605f8625541729b7d509e6;11;1;56;4;1;0;15;;
356;5c605f8625541729b7d509e7;4;1;77;16;1;1;20;;
357;5c605f8625541729b7d509e8;11;1;83;14;1;1;25;;
358;5c605f8625541729b7d509e9;6;1;89;24;1;0;30;;
359;5c605f8625541729b7d509ea;25;1;90;15;1;0;40;;
360;5c605f8625541729b7d509eb;13;1;95;20;1;0;33;;
361;5c605f8625541729b7d509ec;11;1;104;9;1;1;20;;
362;5c605f8625541729b7d509ed;11;1;105;19;1;0;30;;
363;5c605f8625541729b7d509ee;22;1;106;3;1;0;25;;
364;5c605f8625541729b7d509ef;15;1;107;0;1;0;15;;
365;5c605f8625541729b7d509f0;22;1;112;18;1;1;40;;
366;5c605f8625541729b7d509f1;7;1;115;9;1;0;16;;
367;5c605f8625541729b7d509f2;1;1;116;14;1;1;15;;
368;5c605f8625541729b7d509f3;1;1;118;19;1;0;20;;
369;5c605f8625541729b7d509f4;11;1;119;8;1;0;20;;
370;5c605f8625541729b7d509f5;4;1;120;13;1;1;18;;
371;5c605f8625541729b7d509f6;4;1;121;11;1;0;15;;
372;5c605f8625541729b7d509f7;2;1;122;13;1;0;15;;
373;5c605f8625541729b7d509f8;11;1;123;8;1;0;20;;
374;5c605f8625541729b7d509f9;11;1;124;14;1;1;25;;
375;5c605f8625541729b7d509fa;8;1;125;7;1;0;15;;
376;5c605f8625541729b7d509fb;16;1;126;4;1;0;20;;
377;5c605f8625541729b7d509fc;20;1;127;0;1;0;20;;
378;5c605f8625541729b7d509fd;6;1;128;19;1;1;25;;
379;5c605f8625541729b7d509fe;16;1;129;4;1;1;20;;
380;5c605f8625541729b7d509ff;5;1;130;10;1;0;15;;
381;5c605f8625541729b7d50a00;7;1;131;12;1;1;20;;
382;5c605f8625541729b7d50a01;7;1;132;8;1;0;15;;
383;5c605f8625541729b7d50a02;7;1;133;8;1;0;15;;
384;5c605f8625541729b7d50a03;2;1;134;18;1;0;20;;
385;5c605f8625541729b7d50a04;3;1;135;17;1;1;20;;
386;5c605f8625541729b7d50a05;4;1;139;11;1;0;15;;
387;5c605f8625541729b7d50a06;19;1;141;1;1;1;20;;
388;5c605f8625541729b7d50a07;20;1;142;4;1;0;25;;
389;5c605f8625541729b7d50a08;20;1;143;9;1;1;30;;
390;5c605f8625541729b7d50a09;2;1;146;24;1;1;26;;
391;5c605f8625541729b7d50a0a;8;1;149;11;1;0;20;;
392;5c605f8625541729b7d50a0b;4;1;152;11;1;1;15;;
393;5c605f8625541729b7d50a0c;6;1;153;16;1;1;24;;
394;5c605f8625541729b7d50a0d;6;1;155;13;1;0;20;;
395;5c605f8625541729b7d50a0e;11;1;156;3;1;0;15;;
396;5c605f8625541729b7d50a0f;15;1;29;5;1;1;20;;
397;5c605f8625541729b7d50a10;19;1;9;6;1;1;25;;
398;5c605f8625541729b7d50a11;8;1;13;16;1;1;24;;
399;5c605f8625541729b7d50a12;8;1;14;12;1;1;20;;
400;5c605f8625541729b7d50a13;11;1;15;23;1;1;34;;
401;5c605f8625541729b7d50a14;7;1;16;13;1;1;20;;
402;5c605f8625541729b7d50a15;18;1;18;6;1;1;24;;
403;5c605f8625541729b7d50a16;8;1;28;17;1;0;25;;
404;5c605f8625541729b7d50a17;21;1;148;14;1;1;36;;
405;5c605f8625541729b7d50a18;0;1;17;0;1;1;40;;
